*çry> vh
7VV 1
Administración Principal de Loterías.
FACTURA de 1,316 billetes correspondientes al sorteo ordinario número 1,042 que se ha de celebrar en el dia de mañana y que inutilizados por no haberse vendido en esta Administración se remiten á la Contaduría general de Hacienda,
Núm.	al	Nòni.	Son	Núm.	al	Núm.	Son
4.	* Las proposiciones so liarán en pliego cerrado y en papel del sello 8. ° acompañadas dol recibo de ia Mayórdomía de estos propios que acredite el depósito en la misma de cien pesos oro y certificación de la autoridad local referente á su conducta y moralidad, sin cuyo requisito serán nulos y de ningún valor ni efecto. Una vez celebrada la subasta se devolverán los depósitos provisionales á los que no la hubiesen obtenido y se reservará el depósito perteneciente al rematador, hasta que sea aprobada la contrata por la Superioridad, ampliando en su caso ol depósito á 500 pesos en garantía de la misma, cuya suma le sera devuelta al vencimiento, si no lo resultare responsabilidad. La ampliación del depósito tendrá lugar dentro de ¡os ocho dias siguientes al de la notificación de adjudicac on y si no lo hiciere, perderá el primer depósito á favor de los fondos de Propios, sin perjuicio de cobrársele por la vía deopromio las cantidades do depósito definitivo, y si no diere resultado por aparecer insolvente, quedará de hecho rescindido el contrato. Tampoco podrá reclamar otra cosa que el primer depósito si no fuere aprobada la subasta por la Superioridad.
5.	* Caso de que se presenten dos ó más propositónos iguales, se admitirán entre sus autores pujas á la llana por espacio de quince minutos.
6.	* Será de cuenta del romatador el abono dol papel do reintegro equivalento al sello que haya debido invertirse en el expediente de la subasta, hasta su completa terminación.
7.3	Forma pai to de la contrata la conducción de las carnes desde el Matadero al Mercado público en los carros del establecimiento, por cuyo servicio cobrará cuatro reales fuertes por cada res mayor y dos por cada res menor.
8.05	El romatador recibirá bajo inventarío los enseres y útiles existentes en el establecimiento, comprometiéndose á entregarlos en el mismo ser y estado á la terminación de la contrata.
9.3	Será respetado por ol contratista el reglamento vigente para el gobierno económico y de policía del inatadero, ciñéndoso en un todo á las prescripciones del mismo y muy particularmente á lo consignado en los artículos 12, 13, 14 y 15 que directamente le conciernen.
10. Las cnostionos ó dudas que ocurrieron sobre la inteligencia y cumplimiento Je esto contrato, serán resuellas por esta Ilustre Corporación, de cuyo fallo podrá apelar el rematador para ante el Excmo. Sr. Gobernador Civil de la Provincia.
Cárdenas 17 de Julio do 1879.—El Secretario interino, Joaquín Echagüe.
Modelo do proposición!
D. N.....N.....vecino de....enterado y confor-
me en un todo con el pliego de condiciones pubüoa-do on el..del dia.....para rematar ol Propio Ma-
tadero y Corral público de esta ciudad so obliga á tomar por su cuenta dicha contrata por la suma mensual de....[en letra la cantidadj.
(Fecha y firma.)
