immmmmmm i........1 "i...
Admití stracion Princip.l de Loterías de la Isla de Cuba.
Factura de 821 billetes correspondientes al sorteo ordinario núm. 1041 que se ha de celebrar en el dia de mañana y que inutilizados. por no haberse vendido en esta Administración se remiten ú la Contaduría General de Hacienda.
Núm.	al	Núm.	Son.	Núm.	al	Núm.	Son.
Declarados libres on sesión colebrada en veinto y cinco del mes próximo pasado, los morenos, Esté-ban criollo y Guadalupelucumí, osclavosdo D. Francisco Diaz Crespo, los cuales reclaman su libertad por considerarse sexagenarios; de orden del Excmo. Sr. Presidente so!baco pública esta resolución en cinco números del Boletín oficial de la Provincia y Gacota do la Habana, para quo los que se consideren perjudioados puedan doducir sus derechos concurriendo á esta Secretaría,dentro del plazo de treinta dias quo fija el artículo 7p dol Reglamento de 5 de Agosto de 1872, á contar desde la lecha on que se publique el primer anuncio.—Matanzas 8 de Julio de 1879.—El Secretario, Miguel Alfredo Lavastida.
Ilustre Ayuntamiento de Gibara.
Hallándose vacante la plaza de Mélico Municipal de oslo término dotada con el haber anual de 750 peses pagados do fondos municipales, el cual tiene la obligación de visitar los enfermos pobres quo lo soliciten, asistir el Hospital Civil y Cárcel si se establecieren en esta villa, la conservación y propagación déla vacuna en xoda la jurisdicción y auxiliar á la autoridad en todos los casos inédiec-íe-galos quo puedan ocurrir; se anuncia por medio del presento para que los Sres. Profesoros quo deseen optar á dicha plaza, dirijan sus solicitudes docuroen-tadasá cstaPresidenciadentrodeltórminodo treinta dias á contar desdo el en quo so publique esto anuncio onla Gacota de la Habana, ol cual se insortará también en ol Boletín oficial do la Provincia y en el periódico de esta localidad para general conocimiento.
Y para su publicación por »res números consecutivos de la Gaceta oficial de la Habana exnido oí presente en Gibara á 28 de .Junio do 1879.—El Presidente, Flguera.—El Secretario, Etequiel Ruíz.
Ayuntamiento de la Esperanza.
Celogic «Ja Corredores y Notarios <*o-naereiales de la Habana.
CAMBIOS
líspa-ár.................—
Inglaterra................—
Francia..................  j
Alemania.................{
Estados Unidos...........  j
Oroespañol.................113 á 113}ji.g P.
_	.	/ 5 y 7 p.¿ anual B[B
Descuento mercantil......|	8 y 10 oro
Nominal.
20 á 20$ P. 60 d[V.
6	á 6) P. 60 djv.
7	A 7j P. 3 d|v.
4 á 4J P. 60 d[v. 5J á 0" P. 3 div. 8Î á 9 P. 60 drv.
’ á 101"P.
Secretaría.
Dibiondo proveerse, Según lo acordado por esto A juntamiento la plaza de Módieo municipal, croada nuovamonte, dotada con el haber anual do setecientos cincuenta pesos oro, so haoe público por isto medio á fin de que los aspirantes á dicha plaza presenten sus solicitudes acompañando sus títulos y certificaciones de los servicios que hayan prestado hasta el dia 18 de Julio pióximo; pasado el cual, so procederá á formar la correspondiente terna do aspirantes. en vista do los méritos y capacidad que reúna cada solicitante.
Esperanza 18 de Junio do 1879.—JoséEstopé.
